method,threshold_mean,threshold_std,threshold_min,threshold_25%,threshold_75%,threshold_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_75%,roc_auc_max,tpr_mean,tpr_std,tpr_min,tpr_25%,tpr_75%,tpr_max,tnr_mean,tnr_std,tnr_min,tnr_25%,tnr_75%,tnr_max,geometric_mean_mean,geometric_mean_std,geometric_mean_min,geometric_mean_25%,geometric_mean_75%,geometric_mean_max,arithmetic_mean_mean,arithmetic_mean_std,arithmetic_mean_min,arithmetic_mean_25%,arithmetic_mean_75%,arithmetic_mean_max
../../partD-experiments/data-methods/validation/ros_283_rus_0pt1_d4,0.4656,0.0685,0.3305,0.4239,0.511,0.528,0.8104,0.0083,0.7981,0.807,0.8146,0.8245,0.765,0.0157,0.7379,0.7524,0.7767,0.7864,0.7354,0.0151,0.7152,0.7225,0.7447,0.7618,0.75,0.012,0.7312,0.7425,0.759,0.7692,0.7502,0.012,0.7314,0.7429,0.7593,0.7693
../../partD-experiments/data-methods/validation/rus_0pt0349_d4,0.0107,0.0033,0.007,0.0086,0.0118,0.0165,0.7891,0.018,0.7681,0.7742,0.8004,0.8167,0.7757,0.035,0.7282,0.7524,0.7913,0.835,0.722,0.0395,0.6541,0.7039,0.7542,0.7682,0.7477,0.0177,0.7223,0.738,0.7638,0.7724,0.7489,0.0173,0.7223,0.74,0.7643,0.7725
../../partD-experiments/data-methods/validation/rus_0pt0349_d2,0.0118,0.0016,0.0085,0.012,0.0129,0.0135,0.8054,0.0153,0.7781,0.7998,0.8164,0.8284,0.7777,0.0197,0.7476,0.7621,0.7864,0.8155,0.7373,0.0386,0.6609,0.7244,0.765,0.781,0.7568,0.019,0.7209,0.7477,0.7706,0.7837,0.7575,0.0183,0.7236,0.7481,0.7707,0.7837
../../partD-experiments/data-methods/validation/ros_28pt6_d2,0.0126,0.0019,0.0095,0.0116,0.0132,0.0155,0.8167,0.0177,0.7825,0.8066,0.8236,0.842,0.767,0.0242,0.7087,0.7597,0.784,0.7961,0.7365,0.0336,0.6759,0.709,0.7575,0.7726,0.7514,0.0238,0.702,0.7443,0.7639,0.7843,0.7517,0.0235,0.702,0.7453,0.7639,0.7844
../../partD-experiments/data-methods/validation/ros_28pt6_d4,0.0148,0.0044,0.0085,0.0106,0.0175,0.0205,0.8285,0.0157,0.8007,0.82,0.8382,0.856,0.7854,0.0226,0.7573,0.7694,0.8034,0.8252,0.7502,0.0199,0.7129,0.7394,0.7583,0.7807,0.7675,0.0172,0.7347,0.7583,0.7802,0.7932,0.7678,0.0173,0.7351,0.7584,0.7812,0.7933
../../partD-experiments/data-methods/validation/ros_709_d4,0.3682,0.1179,0.0845,0.3415,0.4354,0.516,0.7884,0.0321,0.7327,0.7769,0.8033,0.8354,0.7602,0.0394,0.7087,0.7306,0.7913,0.8252,0.7232,0.0166,0.7021,0.7134,0.7365,0.7506,0.7413,0.0259,0.7054,0.7203,0.7523,0.7871,0.7417,0.0262,0.7054,0.7204,0.7532,0.7879
../../partD-experiments/data-methods/validation/ros_2837_d2,0.3864,0.1483,0.0015,0.3687,0.4911,0.514,0.8037,0.0362,0.7332,0.7823,0.8219,0.8507,0.7825,0.0544,0.7282,0.7476,0.8082,0.9029,0.6851,0.1407,0.2936,0.7058,0.7451,0.7669,0.7251,0.0787,0.5148,0.7221,0.7656,0.7966,0.7338,0.0548,0.5982,0.7223,0.7657,0.7975
../../partD-experiments/data-methods/validation/ros_2pt8_d4,0.0006,0.0002,0.0005,0.0005,0.0005,0.001,0.7786,0.0314,0.7401,0.7615,0.791,0.8514,0.8029,0.0506,0.7282,0.7888,0.8155,0.9126,0.5843,0.0811,0.4924,0.532,0.5915,0.7317,0.6827,0.0422,0.6337,0.6577,0.687,0.7771,0.6936,0.0383,0.6501,0.6726,0.7077,0.7785
../../partD-experiments/data-methods/validation/ros_709_d2,0.2286,0.0457,0.152,0.1965,0.257,0.289,0.7932,0.0208,0.753,0.783,0.8058,0.8246,0.7612,0.0399,0.7184,0.7306,0.7816,0.8252,0.7121,0.0301,0.6646,0.6931,0.7326,0.7566,0.7357,0.0189,0.7118,0.7183,0.7507,0.7604,0.7366,0.0194,0.712,0.7185,0.7534,0.7604
../../partD-experiments/data-methods/validation/ros_2837_d4,0.4703,0.0539,0.386,0.4372,0.5015,0.55,0.8044,0.0226,0.7678,0.7908,0.8161,0.8403,0.7583,0.0322,0.7184,0.7282,0.7816,0.8155,0.7293,0.0331,0.6719,0.7187,0.7427,0.7864,0.7434,0.0244,0.7088,0.7255,0.7619,0.7864,0.7438,0.0243,0.709,0.7255,0.7621,0.7864
../../partD-experiments/data-methods/validation/ros_2pt8_d2,0.0006,0.0002,0.0005,0.0005,0.0009,0.001,0.7883,0.0138,0.7662,0.7771,0.7944,0.8103,0.8078,0.0448,0.7476,0.7718,0.835,0.8932,0.6072,0.0887,0.453,0.5545,0.6799,0.7376,0.6973,0.0358,0.6361,0.6718,0.7186,0.7522,0.7075,0.027,0.6731,0.6853,0.7213,0.7523
../../partD-experiments/data-methods/validation/ros_4256_d4,0.5234,0.081,0.426,0.4441,0.5784,0.6495,0.783,0.0309,0.7481,0.757,0.8133,0.8248,0.7427,0.0301,0.7087,0.7184,0.7621,0.8058,0.7142,0.0327,0.6481,0.7028,0.7368,0.7625,0.7281,0.0261,0.6824,0.7112,0.7513,0.7648,0.7285,0.0261,0.6833,0.7113,0.7526,0.7648
../../partD-experiments/data-methods/validation/rus_0pt00023_d4,0.6811,0.1024,0.437,0.6471,0.7625,0.7765,0.7246,0.0246,0.6882,0.7105,0.7435,0.762,0.7602,0.0437,0.6893,0.7403,0.767,0.8447,0.6783,0.0347,0.6109,0.6623,0.6974,0.7285,0.7174,0.0197,0.6836,0.7069,0.7316,0.7457,0.7193,0.0201,0.6836,0.7104,0.7323,0.7515
../../partD-experiments/data-methods/validation/rus_0pt0032_d4,0.1383,0.0374,0.0765,0.1201,0.164,0.186,0.7615,0.0309,0.7121,0.7446,0.7931,0.797,0.7612,0.019,0.7379,0.7476,0.7767,0.7864,0.7293,0.0293,0.6573,0.7238,0.7406,0.7632,0.7449,0.0202,0.701,0.7378,0.7549,0.7699,0.7452,0.0199,0.7024,0.7378,0.7554,0.77
../../partD-experiments/data-methods/validation/ros_14pt2_d2,0.0058,0.001,0.004,0.0051,0.0064,0.007,0.8129,0.0131,0.7964,0.8031,0.8237,0.8336,0.767,0.0409,0.7282,0.7403,0.7743,0.8641,0.7264,0.0173,0.6874,0.7208,0.7343,0.7557,0.746,0.0155,0.7252,0.7346,0.7599,0.7707,0.7467,0.0165,0.7252,0.7346,0.76,0.7758
../../partD-experiments/data-methods/validation/rus_0pt3521_d4,0.0005,0.0002,0.0005,0.0005,0.0005,0.001,0.7811,0.0173,0.756,0.7688,0.8,0.8023,0.8341,0.0385,0.7767,0.8204,0.8447,0.9029,0.5902,0.0648,0.4718,0.5584,0.6068,0.7401,0.6999,0.0276,0.6492,0.6823,0.7076,0.7582,0.7121,0.0218,0.6825,0.6963,0.7235,0.7584
../../partD-experiments/data-methods/validation/rus_0pt00023_d2,0.5986,0.0687,0.4875,0.5578,0.649,0.6905,0.7437,0.034,0.676,0.7374,0.7485,0.8171,0.7641,0.0317,0.7282,0.7476,0.7816,0.8252,0.7022,0.0427,0.6373,0.6614,0.7338,0.7473,0.7319,0.0212,0.6948,0.7189,0.7406,0.7735,0.7332,0.0206,0.6967,0.7223,0.7407,0.7751
../../partD-experiments/data-methods/validation/ros_4256_d2,0.5449,0.0362,0.497,0.5211,0.5658,0.6155,0.8108,0.0192,0.7658,0.8096,0.8198,0.8328,0.7631,0.023,0.7087,0.7597,0.7743,0.7961,0.7403,0.0334,0.6878,0.7158,0.7668,0.7766,0.7514,0.0226,0.7012,0.7409,0.7669,0.7766,0.7517,0.0225,0.7012,0.7423,0.7669,0.7766
../../partD-experiments/data-methods/validation/rus_0pt3521_d2,0.0007,0.0003,0.0005,0.0005,0.001,0.001,0.7967,0.0219,0.7573,0.7845,0.8117,0.833,0.8078,0.0411,0.7573,0.7864,0.8204,0.9029,0.6243,0.0925,0.4727,0.5809,0.7041,0.7512,0.7073,0.0421,0.6433,0.6859,0.7314,0.7686,0.7161,0.0343,0.6597,0.6942,0.7319,0.7688
../../partD-experiments/data-methods/validation/rus_0pt0032_d2,0.1247,0.0127,0.108,0.1146,0.1376,0.1405,0.7943,0.0254,0.7569,0.7802,0.8114,0.8351,0.7854,0.0248,0.7476,0.767,0.8034,0.8252,0.7274,0.0246,0.6886,0.7086,0.7416,0.7684,0.7557,0.0185,0.7268,0.7414,0.7678,0.7869,0.7564,0.0184,0.7278,0.7417,0.7682,0.7871
../../partD-experiments/data-methods/validation/ros_14pt2_d4,0.0053,0.0012,0.004,0.0045,0.006,0.0075,0.8099,0.0271,0.7637,0.7971,0.8319,0.8505,0.7816,0.0304,0.7282,0.7597,0.8034,0.8252,0.7291,0.0469,0.6264,0.7122,0.7504,0.8006,0.7546,0.0343,0.6932,0.7424,0.776,0.8128,0.7553,0.0337,0.6967,0.7438,0.7764,0.8129
../../partD-experiments/data-methods/validation/rus_0pt00053_d4,0.5542,0.0443,0.4895,0.5136,0.5901,0.599,0.7261,0.0195,0.6917,0.7106,0.7411,0.7434,0.7417,0.0308,0.699,0.7209,0.7646,0.7864,0.6923,0.0345,0.6306,0.681,0.7122,0.7468,0.7162,0.0198,0.6898,0.6991,0.7238,0.7472,0.717,0.0195,0.6914,0.7001,0.7247,0.7472
../../partD-experiments/data-methods/validation/ros_1891_d4,0.3983,0.0786,0.2585,0.3424,0.4609,0.4985,0.7886,0.0159,0.7675,0.7766,0.805,0.8103,0.7466,0.0202,0.7184,0.7306,0.7549,0.7864,0.7193,0.01,0.7022,0.7148,0.723,0.736,0.7328,0.0136,0.7103,0.7244,0.7388,0.7588,0.7329,0.0137,0.7103,0.7245,0.7392,0.7593
../../partD-experiments/data-methods/validation/ros_1891_d2,0.3803,0.055,0.326,0.3418,0.4082,0.4755,0.8029,0.0232,0.7607,0.7916,0.8151,0.8428,0.7544,0.034,0.7087,0.733,0.7743,0.8155,0.7418,0.0292,0.7081,0.7156,0.7569,0.7989,0.7481,0.0315,0.7084,0.7242,0.7655,0.8072,0.7481,0.0315,0.7084,0.7243,0.7656,0.8072
../../partD-experiments/data-methods/validation/rus_0pt00053_d2,0.4348,0.0444,0.3315,0.4386,0.4516,0.481,0.7433,0.0236,0.7031,0.728,0.7624,0.7718,0.765,0.0345,0.7087,0.7476,0.7743,0.8447,0.7016,0.0297,0.6377,0.6859,0.7264,0.7313,0.7322,0.0142,0.7086,0.7223,0.7444,0.749,0.7333,0.0144,0.7086,0.7231,0.7454,0.7492
